text@ify1990m	@ify1990m	305.154	306.994	#смеется#
text@ify1990m	@ify1990m	307.154	311.554	слушайте / ну этоо // это т варьируется тоже / как бы / то есть это не //
text@ify1990m	@ify1990m	312.064	314.874	нне могу за интеллигенцию говорить / Даш здесь // //
text@ify1990m	@ify1990m	315.659	321.849	даа да да / я не могу за интеллигенцию // щас брать это // право и / за всех говорить / что они //
text@ify1990m	@ify1990m	322.014	325.824	это / опять же видите // а / человек прекрасен аа //
text@ify1990m	@ify1990m	325.969	328.949	он в общем // в своих проявлениях / широкий //
text@ify1990m	@ify1990m	329.129	339.299	да? / то есть он // вроде / и // заступиться может // ии / и вот / интеллигенция может собраться ии / отстаивать помогать / говорить о чем-то / а когда как бы / она может и слиться //
text@ify1990m	@ify1990m	339.419	345.819	также и касается / и // ии всех персонажей / которых мы сегодня обсуждали / и обсуждаем в ф... / героев фильмов //
text@ify1990m	@ify1990m	346.039	356.809	понимаете / это человек он такой / сам по себе / человек онн // двойственен / поэтомуу // человек прекрасен / в своей // неприкрасности / непостоянности / в неприкрасности и //
text@ify1990m	@ify1990m	357.001	365.051	аа / вот // говорю одно делаю другое / так же как и в фильме Тряпичный союз / они всё говорили это / двигаем дома / а в итоге все значит / разбежались //
text@ify1990m	@ify1990m	365.233	371.403	ноо! / один то поверил // собственно говоря // как оказалось / дыа! да / больше всех поверил и проникся //
text@ify1990m	@ify1990m	373.693	374.653	падало другое //
text@ify1990m	@ify1990m	375.523	376.333	даа да //
text@ify1990m	@ify1990m	378.653	384.133	ну я думаю что это / буаа баа // как смотря это / расшифровывать / вот что это значит //
text@ify1990m	@ify1990m	384.263	387.183	толкаем одно падает / как это расшифровать / в сегодняшнем дне //
text@ify1990m	@ify1990m	387.303	390.343	ну вот мне интересно как вы / это // вот что вы про это //
text@ify1990m	@ify1990m	393.873	394.463	да //
text@ify1990m	@ify1990m	403.143	406.493	то ниче и не будет да / происходить с тобой да / наверно //
text@ify1990m	@ify1990m	408.048	408.888	наверно! //
text@ify1990m	@ify1990m	409.758	426.358	оно важно / да / оно вот / от него строится всё / если ты его приложил / сверхусилие / значит как бы и сверх / что-то может с тобой произойти / после всех этих сверхусилий / если ты никакие усилия ни к чему не прикладываешь / и не двигаешь дома / грубо говоря / которые не двигаются / то // нниче не произойдет с тобой //
text@ify1990m	@ify1990m	427.032	427.97	мне кажется //
text@ify1990m	@ify1990m	435.705	436.583	ну даа да //
text@ify1990m	@ify1990m	440.246	459.799	это это всёё // это как / кармические эффекты / связанные вот // с / поведением человека / и с жизнью человека на Земле / я в это очень верю / мне кажется так это и происходит / чем больше ч ты чего-то хочешь / получить / и всяческими методами пытаешься этого // достигнуть / вот этого желания / владеть иметь / то / как ни странно / от тебя это отдаляется //
text@ify1990m	@ify1990m	460.347	461.582	сам результат //
text@ify1990m	@ify1990m	461.729	475.238	того чш... / чего ты хочешь достигнуть / он от тебя отдаляется / потому что // всё сверху видит о том как ты желаешь / и оно над тобой как бы // хы / тебе действительно так это надо? / мы / еще на полсантиметра уберем / те так это ? еще на два сантиметра мы можем это убрать на три //
text@ify1990m	@ify1990m	475.364	482.677	а когда ты к этому легче относишься проще / то к те / тебее / иии / это ии / как-то в руки само и попадает / вы не замечали сами? что //
text@ify1990m	@ify1990m	483.054	492.874	это закон такой / что // а вот / мень / хочешь будешь / но чем больше хочешь / чем почему-то меньше дается / а чем меньше хочешь / но хочешь / то дается само и легче //
text@ify1990m	@ify1990m	493.127	497.258	вот такая какая-то / маразма... / маразматическая формула странная но // 
text@ify1990m	@ify1990m	500.239	501.545	высекать / да да //
text@ify1990m	@ify1990m	502.556	506.29	не дается да / ничего не делаешь / если не при... / не прикладываешь никаких усилий //
text@dez1977f	@dez1977f	10.515	11.056	мгм //
text@dez1977f	@dez1977f	24.462	24.942	мгм //
text@dez1977f	@dez1977f	55.02	55.571	ага //
text@dez1977f	@dez1977f	59.367	60.469	#смеется# //
text@dez1977f	@dez1977f	63.937	69.141	а вам не кажется? Вань / вот прекрасно щас говорите / замечательно / но скажите / а не кажется ли вам //
text@dez1977f	@dez1977f	69.691	85.824	да нет / вы замечательно рассуждаете / просто // не кажется ли вам / что // вот в ответ это будет воспринято так / агаа! / этот мэр нас испугался! / боится заигрывает говорит нам комплимент / давайте мы еще больше будем ругать все что он делает / #смеется# //
text@dez1977f	@dez1977f	86.259	87.014	понимаете? //
text@dez1977f	@dez1977f	89.753	90.396	мгм // 
text@dez1977f	@dez1977f	98.508	100.6	но / к сожалению / это не я так рассуждаю / вот //
